sample-id,file-name
EX_CON_1_16S,EX_CON_1_16S
EX_CON_2_16S,EX_CON_2_16S
EX_CON_3_16S,EX_CON_3_16S
EX_CON_4_16S,EX_CON_4_16S
EX_Con_44_16S,EX_Con_44_16S
Ex_Con_45_16S,Ex_Con_45_16S
Ex_Con_46_16S,Ex_Con_46_16S
Ex_Con_47_16S,Ex_Con_47_16S
EX_CON_5_16S,EX_CON_5_16S
EX_Con_6_16S,EX_Con_6_16S
EX_Con_7_16S,EX_Con_7_16S
EX_Con_8_16S,EX_Con_8_16S
Ex_Con_9_16S,Ex_Con_9_16S
FL_WW_298_16S,FL_WW_298_16S
FL_WW_299_16S,FL_WW_299_16S
FL_WW_300_16S,FL_WW_300_16S
FL_WW_308_16S,FL_WW_308_16S
FL_WW_309_16S,FL_WW_309_16S
FL_WW_310_16S,FL_WW_310_16S
FL_WW_316_16S,FL_WW_316_16S
FL_WW_320_16S,FL_WW_320_16S
FL_WW_321_16S,FL_WW_321_16S
FL_WW_322_16S,FL_WW_322_16S
FL_WW_330_16S,FL_WW_330_16S
FL_WW_331_16S,FL_WW_331_16S
FL_WW_332_16S,FL_WW_332_16S
FL_WW_338_16S,FL_WW_338_16S
FL_WW_340_16S,FL_WW_340_16S
FL_WW_344_16S,FL_WW_344_16S
FL_WW_345_16S,FL_WW_345_16S
FL_WW_346_16S,FL_WW_346_16S
FL_WW_435_16S,FL_WW_435_16S
FL_WW_436_16S,FL_WW_436_16S
FL_WW_437_16S,FL_WW_437_16S
FL_WW_439_16S,FL_WW_439_16S
FL_WW_447_16S,FL_WW_447_16S
FL_WW_448_16S,FL_WW_448_16S
FL_WW_449_16S,FL_WW_449_16S
FL_WW_451_16S,FL_WW_451_16S
FL_WW_459_16S,FL_WW_459_16S
FL_WW_460_16S,FL_WW_460_16S
FL_WW_461_16S,FL_WW_461_16S
FL_WW_463_16S,FL_WW_463_16S
FL_WW_471_16S,FL_WW_471_16S
FL_WW_472_16S,FL_WW_472_16S
FL_WW_473_16S,FL_WW_473_16S
FL_WW_475_16S,FL_WW_475_16S
FL_WW_489_16S,FL_WW_489_16S
FL_WW_490_16S,FL_WW_490_16S
FL_WW_491_16S,FL_WW_491_16S
FL_WW_493_16S,FL_WW_493_16S
FL_WW_507_16S,FL_WW_507_16S
FL_WW_508_16S,FL_WW_508_16S
FL_WW_509_16S,FL_WW_509_16S
FL_WW_511_A_16S,FL_WW_511_A_16S
FL_WW_511_B_16S,FL_WW_511_B_16S
FL_WW_511_C_16S,FL_WW_511_C_16S
FL_WW_524_16S,FL_WW_524_16S
FL_WW_525_16S,FL_WW_525_16S
FL_WW_526_16S,FL_WW_526_16S
FL_WW_528_16S,FL_WW_528_16S
FL_WW_535_16S,FL_WW_535_16S
FL_WW_536_16S,FL_WW_536_16S
FL_WW_537_16S,FL_WW_537_16S
FL_WW_539_16S,FL_WW_539_16S
FL_WW_547_16S,FL_WW_547_16S
FL_WW_548_16S,FL_WW_548_16S
FL_WW_549_16S,FL_WW_549_16S
FL_WW_551_16S,FL_WW_551_16S
FL_WW_559_16S,FL_WW_559_16S
FL_WW_560_16S,FL_WW_560_16S
FL_WW_561_16S,FL_WW_561_16S
FL_WW_563_16S,FL_WW_563_16S
FL_WW_571_16S,FL_WW_571_16S
FL_WW_572_16S,FL_WW_572_16S
FL_WW_573_16S,FL_WW_573_16S
FL_WW_575_16S,FL_WW_575_16S
FL_WW_583_16S,FL_WW_583_16S
FL_WW_584_16S,FL_WW_584_16S
FL_WW_585_16S,FL_WW_585_16S
FL_WW_587_16S,FL_WW_587_16S
PCR_CON_1_16S,PCR_CON_1_16S
PCR_CON_2_16S,PCR_CON_2_16S
PCR_CON_3_16S,PCR_CON_3_16S
PCR_CON_4_16S,PCR_CON_4_16S
